               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044359,            0.058406,            0.017296,             0.66347,              0.5581,             0.61848,             0.41228,            0.041406,            0.038171,            0.010942,              0.0937,              0.0007,              0.0007
                   1,            0.045127,            0.063451,            0.015708,             0.75447,             0.60969,             0.71498,             0.47026,            0.040718,            0.037106,           0.0096529,            0.086005,            0.001005,            0.001005
                   2,             0.04333,            0.064012,            0.015731,             0.77674,             0.63657,             0.74324,              0.4888,            0.040294,            0.036633,           0.0090778,            0.077782,            0.000782,            0.000782
